"National
Dex","Pokemon
Name",Generation,Type,"Kanto Dex #
(RBYFRLG)","Kanto Dex #
(LGPE)","New Dex #
(GSC)","Johto Dex #
(HGSS)","Hoenn Dex #
(RSE)","Hoenn Dex #
(ORAS)","Sinnoh Dex #
(DPBDSP)","Sinnoh Dex #
(Pt)","Unova Dex #
(BW)","Unova Dex #
(B2W2)","Central Kalos Dex #
(XY)","Coastal Kalos Dex #
(XY)","Mount Kalos Dex #
(XY)","Alola Dex #
(SM)","Melemele Dex #
(SM)","Akala Dex #
(SM)","Ula'ula Dex #
(SM)","Poni Dex #
(SM)","Alola Dex #
(USUM)","Melemele Dex #
(USUM)","Akala Dex #
(USUM)","Ula'ula Dex #
(USUM)","Poni Dex #
(USUM)","Galar Dex #
(SwSh)","Isle of Armor Dex #
(SwSh)","Crown Tund Dex #
(SwSh)","Hisui Dex #
(LA)","Paldea Dex #
(SV)",Kitakami Dex # (SV),Blueberry Dex # (SV),HP,Attack,Defense,"Special
Attack","Special
Defense",Speed,Total,Type I,Type II,Ability I,Ability II,Hidden Ability,Height (ft),Height (m),Weight (lbs),Weight (kg),HP EVs,Attcak EVs,Defense EVs,Special Attack EVs,Special Defense EVs,Speed EVs,"Experience
Value",Catch Rate,"Experience
Growth",Base Friendship,Pokedex Color,Gender Ratio,Egg Cycles,Egg Group I,Egg Group II,"Evolution
Method"
507,Herdier,5,,,,,,,,,,13,23,,,,121,,48,,,151,,52,,,,114,,,,,,65,80,65,35,65,60,370,Normal,,Intimidate,Sand Rush,Scrappy,"2'11""","0,9","32,4","14,7",,2,,,,,130,120,Med Slow,50,Gray,Neutral,15,Field,,Lv. 32
508,Stoutland,5,,,,,,,,,,14,24,,,,122,,49,,,152,,53,,,,115,,,,,,85,110,90,45,90,80,500,Normal,,Intimidate,Sand Rush,Scrappy,"3'11""","1,2","134,5",61,,3,,,,,250,45,Med Slow,50,Gray,Neutral,15,Field,,
509,Purrloin,5,,,,,,,,,,15,12,,,42,,,,,,,,,,,44,,,,,,,41,50,37,50,37,66,281,Dark,,Limber,Unburden,Prankster,"1'04""","0,4","22,3","10,1",,,,,,1,56,255,Med Fast,50,Purple,Neutral,20,Field,,Lv. 20
510,Liepard,5,,,,,,,,,,16,13,,,43,,,,,,,,,,,45,,,,,,,64,88,50,88,50,106,446,Dark,,Limber,Unburden,Prankster,"3'07""","1,1","82,7","37,5",,,,,,2,156,90,Med Fast,50,Purple,Neutral,20,Field,,
511,Pansage,5,,,,,,,,,,17,37,29,,,,,,,,,,,,,,,,,,,,50,53,48,53,48,64,316,Grass,,Gluttony,,Overgrow,"2'00""","0,6","23,1","10,5",,,,,,1,63,190,Med Fast,50,Green,M (87.5%),20,Field,,Leaf Stone
512,Simisage,5,,,,,,,,,,18,38,30,,,,,,,,,,,,,,,,,,,,75,98,63,98,63,101,498,Grass,,Gluttony,,Overgrow,"3'07""","1,1","67,2","30,5",,,,,,2,174,75,Med Fast,50,Green,M (87.5%),20,Field,,
513,Pansear,5,,,,,,,,,,19,39,31,,,,,,,,,,,,,,,,,,,,50,53,48,53,48,64,316,Fire,,Gluttony,,Blaze,"2'00""","0,6","24,3",11,,,,,,1,63,190,Med Fast,50,Red,M (87.5%),20,Field,,Fire Stone
514,Simisear,5,,,,,,,,,,20,40,32,,,,,,,,,,,,,,,,,,,,75,98,63,98,63,101,498,Fire,,Gluttony,,Blaze,"3'03""",1,"61,7",28,,,,,,2,174,75,Med Fast,50,Red,M (87.5%),20,Field,,
515,Panpour,5,,,,,,,,,,21,41,33,,,,,,,,,,,,,,,,,,,,50,53,48,53,48,64,316,Water,,Gluttony,,Torrent,"2'00""","0,6","29,8","13,5",,,,,,1,63,190,Med Fast,50,Blue,M (87.5%),20,Field,,Water Stone
516,Simipour,5,,,,,,,,,,22,42,34,,,,,,,,,,,,,,,,,,,,75,98,63,98,63,101,498,Water,,Gluttony,,Torrent,"3'03""",1,"63,9",29,,,,,,2,174,75,Med Fast,50,Blue,M (87.5%),20,Field,,
517,Munna,5,,,,,,,,,,23,86,,,,,,,,,,,,,,90,,,,,,,76,25,45,67,55,24,292,Psychic,,Forewarn,Synchronize,Telepathy,"2'00""","0,6","51,4","23,3",1,,,,,,58,190,Fast,50,Pink,Neutral,10,Field,,Moon Stone
518,Musharna,5,,,,,,,,,,24,87,,,,,,,,,,,,,,91,,,,,,,116,55,85,107,95,29,487,Psychic,,Forewarn,Synchronize,Telepathy,"3'07""","1,1","133,4","60,5",2,,,,,,170,75,Fast,50,Pink,Neutral,10,Field,,
519,Pidove,5,,,,,,,,,,25,14,,,,,,,,,,,,,,26,,,,,,,50,55,50,36,30,43,264,Normal,Flying,Big Pecks,Super Luck,Rivalry,"1'00""","0,3","4,6","2,1",,1,,,,,53,255,Med Slow,50,Gray,Neutral,15,Flying,,Lv. 21
520,Tranquill,5,,,,,,,,,,26,15,,,,,,,,,,,,,,27,,,,,,,62,77,62,50,42,65,358,Normal,Flying,Big Pecks,Super Luck,Rivalry,"2'00""","0,6","33,1",15,,2,,,,,125,120,Med Slow,50,Gray,Neutral,15,Flying,,Lv. 32
521,Unfezant,5,,,,,,,,,,27,16,,,,,,,,,,,,,,28,,,,,,,80,115,80,65,55,93,488,Normal,Flying,Big Pecks,Super Luck,Rivalry,"3'11""","1,2","63,9",29,,3,,,,,244,45,Med Slow,50,Gray,Neutral,15,Flying,,
522,Blitzle,5,,,,,,,,,,28,147,,,,,,,,,,,,,,,,,,,,23,45,60,32,50,32,76,295,Electric,,Lightningrod,Motor Drive,Sap Sipper,"2'07""","0,8","65,7","29,8",,,,,,1,59,190,Med Fast,50,Black,Neutral,20,Field,,Lv. 27
523,Zebstrika,5,,,,,,,,,,29,148,,,,,,,,,,,,,,,,,,,,24,75,100,63,80,63,116,497,Electric,,Lightningrod,Motor Drive,Sap Sipper,"5'03""","1,6","175,3","79,5",,,,,,2,174,75,Med Fast,50,Black,Neutral,20,Field,,
524,Roggenrola,5,,,,,,,,,,30,68,,120,,98,98,,,48,120,120,,,60,168,154,,,,,,55,75,85,25,25,15,280,Rock,,Sturdy,Weak Armor,Sand Force,"1'04""","0,4","39,7",18,,,1,,,,56,255,Med Slow,50,Blue,Neutral,15,Mineral,,Lv. 25
525,Boldore,5,,,,,,,,,,31,69,,121,,99,99,,,49,121,121,,,61,169,155,,,,,,70,105,105,50,40,20,390,Rock,,Sturdy,Weak Armor,Sand Force,"2'11""","0,9","224,9",102,,1,1,,,,137,120,Med Slow,50,Blue,Neutral,15,Mineral,,Trade
526,Gigalith,5,,,,,,,,,,32,70,,122,,100,100,,,50,122,122,,,62,170,156,,,,,,85,135,130,60,80,25,515,Rock,,Sturdy,Sand Stream,Sand Force,"5'07""","1,7","573,2",260,,3,,,,,258,45,Med Slow,50,Blue,Neutral,15,Mineral,,
527,Woobat,5,,,,,,,,,,33,66,,55,,,,,,,,,,,,174,151,,,,,,65,45,43,55,43,72,323,Psychic,Flying,Unaware,Klutz,Simple,"1'04""","0,4","4,6","2,1",,,,,,1,65,190,Med Fast,50,Blue,Neutral,15,Field,Flying,Friendship
528,Swoobat,5,,,,,,,,,,34,67,,56,,,,,,,,,,,,175,152,,,,,,67,57,55,77,55,114,425,Psychic,Flying,Unaware,Klutz,Simple,"2'11""","0,9","23,1","10,5",,,,,,2,149,45,Med Fast,50,Blue,Neutral,15,Field,Flying,
529,Drilbur,5,,,,,,,,,,35,76,,,,,,,,,,,,,,166,,,,,,99,60,85,40,30,45,68,328,Ground,,Sand Rush,Sand Force,Mold Breaker,"1'00""","0,3","18,7","8,5",,1,,,,,66,120,Med Fast,50,Gray,Neutral,20,Field,,Lv. 31
530,Excadrill,5,,,,,,,,,,36,77,,,,,,,,,,,,,,167,,,,,,100,110,135,60,50,65,88,508,Ground,Steel,Sand Rush,Sand Force,Mold Breaker,"2'04""","0,7","89,1","40,4",,2,,,,,178,60,Med Fast,50,Gray,Neutral,20,Field,,
531,Audino,5,,,,,,,,,,37,36,123,,,,,,,,,,,,,,,21,,,,,103,60,86,60,86,50,445,Normal,,Healer,Regenerator,Klutz,"3'07""","1,1","68,3",31,2,,,,,,390,255,Fast,50,Pink,Neutral,20,Fairy,,
"531,1",Audino (Mega),6,Mega Evolution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,60,126,80,126,50,545,Normal,Fairy,Healer,,,"4'11""","1,5","70,5",32,2,,,,,,425,255,Fast,50,White,Neutral,20,Fairy,,
532,Timburr,5,,,,,,,,,,38,73,,,93,,,,,,,,,,,171,,57,,,85,,75,80,55,25,35,35,305,Fighting,,Guts,Sheer Force,Iron Fist,"2'00""","0,6","27,6","12,5",,1,,,,,61,180,Med Slow,70,Gray,M (75%),20,Human-Like,,Lv. 25
533,Gurdurr,5,,,,,,,,,,39,74,,,94,,,,,,,,,,,172,,58,,,86,,85,105,85,40,50,40,405,Fighting,,Guts,Sheer Force,Iron Fist,"3'11""","1,2","88,2",40,,2,,,,,142,90,Med Slow,50,Gray,M (75%),20,Human-Like,,Trade
534,Conkeldurr,5,,,,,,,,,,40,75,,,95,,,,,,,,,,,173,,59,,,87,,105,140,95,55,65,45,505,Fighting,,Guts,Sheer Force,Iron Fist,"4'07""","1,4","191,8",87,,3,,,,,253,45,Med Slow,50,Brown,M (75%),20,Human-Like,,
535,Tympole,5,,,,,,,,,,41,228,,,,,,,,,,,,,,132,,,,,,,50,50,40,50,40,64,294,Water,,Swift Swim,Hydration,Water Absorb,"1'08""","0,5","9,9","4,5",,,,,,1,59,255,Med Slow,50,Blue,Neutral,20,Water 1,,Lv. 25
536,Palpitoad,5,,,,,,,,,,42,229,,,,,,,,,,,,,,133,,,,,,,75,65,55,65,55,69,384,Water,Ground,Swift Swim,Hydration,Water Absorb,"2'07""","0,8","37,5",17,2,,,,,,134,120,Med Slow,50,Blue,Neutral,20,Water 1,,Lv. 36
537,Seismitoad,5,,,,,,,,,,43,230,,,,,,,,,,,,,,134,,,,,,,105,95,75,85,75,74,509,Water,Ground,Swift Swim,Poison Touch,Water Absorb,"4'11""","1,5","136,7",62,3,,,,,,255,45,Med Slow,50,Blue,Neutral,20,Water 1,,
538,Throh,5,,,,,,,,,,44,267,,97,,,,,,,,,,,,248,,,,,,,120,100,85,30,85,45,465,Fighting,,Guts,Inner Focus,Mold Breaker,"4'03""","1,3","122,4","55,5",2,,,,,,163,45,Med Fast,50,Red,M (100%),20,Human-Like,,
539,Sawk,5,,,,,,,,,,45,268,,98,,,,,,,,,,,,249,,,,,,,75,125,75,30,75,85,465,Fighting,,Sturdy,Inner Focus,Mold Breaker,"4'07""","1,4","112,4",51,,2,,,,,163,45,Med Fast,50,Blue,M (100%),20,Human-Like,,
540,Sewaddle,5,,,,,,,,,,46,17,,,,,,,,,,,,,,,,,,,13,,45,53,70,40,60,42,310,Bug,Grass,Swarm,Chlorophyll,Overcoat,"1'00""","0,3","5,5","2,5",,,1,,,,62,255,Med Slow,50,Yellow,Neutral,15,Bug,,Lv. 20
541,Swadloon,5,,,,,,,,,,47,18,,,,,,,,,,,,,,,,,,,14,,55,63,90,50,80,42,380,Bug,Grass,Leaf Guard,Chlorophyll,Overcoat,"1'08""","0,5","16,1","7,3",,,2,,,,133,120,Med Slow,50,Green,Neutral,15,Bug,,Friendship
542,Leavanny,5,,,,,,,,,,48,19,,,,,,,,,,,,,,,,,,,15,,75,103,80,70,80,92,500,Bug,Grass,Swarm,Chlorophyll,Overcoat,"3'11""","1,2","45,2","20,5",,3,,,,,250,45,Med Slow,50,Yellow,Neutral,15,Bug,,
543,Venipede,5,,,,,,,,,,49,43,120,,,,,,,,,,,,,,74,,,,,,30,45,59,30,39,57,260,Bug,Poison,Poison Point,Swarm,Quick Feet,"1'04""","0,4","11,7","5,3",,,1,,,,52,255,Med Slow,50,Red,Neutral,15,Bug,,Lv. 22
544,Whirlipede,5,,,,,,,,,,50,44,121,,,,,,,,,,,,,,75,,,,,,40,55,99,40,79,47,360,Bug,Poison,Poison Point,Swarm,Quick Feet,"3'11""","1,2",129,"58,5",,,2,,,,126,120,Med Slow,50,Gray,Neutral,15,Bug,,Lv. 30
545,Scolipede,5,,,,,,,,,,51,45,122,,,,,,,,,,,,,,76,,,,,,60,100,89,55,69,112,485,Bug,Poison,Poison Point,Swarm,Quick Feet,"8'02""","2,5",442,"200,5",,,,,,3,243,45,Med Slow,50,Red,Neutral,15,Bug,,
546,Cottonee,5,,,,,,,,,,52,82,,,,87,87,,47,37,105,105,,50,49,262,,168,,,,56,40,27,60,37,50,66,280,Grass,Fairy,Prankster,Infiltrator,Chlorophyll,"1'00""","0,3","1,3","0,6",,,,,,1,56,190,Med Fast,50,Green,Neutral,20,Grass,Fairy,Sun Stone
547,Whimsicott,5,,,,,,,,,,53,83,,,,88,88,,48,38,106,106,,51,50,263,,169,,,,57,60,67,85,77,75,116,480,Grass,Fairy,Prankster,Infiltrator,Chlorophyll,"2'04""","0,7","14,6","6,6",,,,,,2,168,75,Med Fast,50,Green,Neutral,20,Grass,Fairy,
548,Petilil,5,,,,,,,,,,54,84,,,,85,85,,45,35,103,103,,48,47,,201,,93,104,66,,45,35,50,70,50,30,280,Grass,,Chlorophyll,Own Tempo,Leaf Guard,"1'08""","0,5","14,6","6,6",,,,1,,,56,190,Med Fast,50,Green,F (100%),20,Grass,,Sun Stone
549,Lilligant,5,,,,,,,,,,55,85,,,,86,86,,46,36,104,104,,49,48,,202,,,105,67,,70,60,75,110,75,90,480,Grass,,Chlorophyll,Own Tempo,Leaf Guard,"3'07""","1,1","35,9","16,3",,,,2,,,168,75,Med Fast,50,Green,F (100%),20,Grass,,
"549,1",Lilligant (Hisuian),8,Hisuian Form,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,,70,105,75,50,75,105,480,Grass,Fighting,Chlorophyll,Hustle,Leaf Guard,"3'11""","1,2","42,3","19,2",,2,,,,,168,75,Med Fast,50,Green,F (100%),20,Grass,,
550,Basculin (Red-Striped),5,,,,,,,,,,56,104,,,60,,,,,,188,,89,80,75,154,,64,,138,,,70,92,65,80,55,98,460,Water,,Reckless,Adaptability,Mold Breaker,"3'03""",1,"39,7",18,,,,,,2,161,25,Med Fast,50,Green,Neutral,40,Water 2,,
"550,1",Basculin (Blue-STriped),5,,,,,,,,,,56,104,,,60,,,,,,188,,89,80,75,154,,64,,138,,,70,92,65,80,55,98,460,Water,,Rock Head,Adaptability,Mold Breaker,"3'03""",1,"39,7",18,,,,,,2,161,25,Med Fast,50,Green,Neutral,40,Water 2,,
"550,2",Basculin (Hisuian),8,Hisuian Form,,,,,,,,,,,,,,,,,,,,,,,,,,,166,,194,,70,92,65,80,55,98,460,Water,,Rattled,Adaptability,Mold Breaker,"3'03""",1,"39,7",18,,,,,,2,161,25,Med Fast,50,Green,Neutral,40,Water 2,,294 HP Recoil Damage without Fainting
551,Sandile,5,,,,,,,,,,57,99,,43,,232,,,104,,301,,,122,,,176,,,267,,27,50,72,35,35,35,65,292,Ground,Dark,Intimidate,Moxie,Anger Point,"2'04""","0,7","33,5","15,2",,1,,,,,58,180,Med Slow,50,Brown,Neutral,20,Field,,Lv. 29
552,Krokorok,5,,,,,,,,,,58,100,,44,,233,,,105,,302,,,123,,,177,,,268,,28,60,82,45,45,45,74,351,Ground,Dark,Intimidate,Moxie,Anger Point,"3'03""",1,"73,6","33,4",,2,,,,,123,90,Med Slow,50,Brown,Neutral,20,Field,,Lv. 40
553,Krookodile,5,,,,,,,,,,59,101,,45,,234,,,106,,303,,,124,,,178,,,269,,29,95,117,80,65,70,92,519,Ground,Dark,Intimidate,Moxie,Anger Point,"4'11""","1,5","212,3","96,3",,3,,,,,260,45,Med Slow,50,Red,Neutral,20,Field,,
554,Darumaka,5,,,,,,,,,,60,102,,,,,,,,,,,,,,367,,103,,,,,70,90,45,15,45,50,315,Fire,,Hustle,,Inner Focus,"2'00""","0,6","82,7","37,5",,1,,,,,63,120,Med Slow,50,Red,Neutral,20,Field,,Lv. 35
"554,1",Darumaka (Galarian),8,Galarian Form,,,,,,,,,,,,,,,,,,,,,,,,367,,103,,,,,70,90,45,15,45,50,315,Ice,,Hustle,,Inner Focus,"2'04""","0,7","88,2",40,,1,,,,,63,120,Med Slow,50,White,Neutral,20,Field,,Ice Stone
555,Darmanitan,5,,,,,,,,,,61,103,,,,,,,,,,,,,,368,,104,,,,,105,140,55,30,55,95,480,Fire,,Sheer Force,,Zen Mode,"4'03""","1,3","204,8","92,9",,2,,,,,168,60,Med Slow,50,Red,Neutral,20,Field,,
"555,1",Darmanitan (Zen Mode),5,,,,,,,,,,61,103,,,,,,,,,,,,,,368,,104,,,,,105,30,105,140,105,55,540,Fire,Psychic,,,Zen Mode,"4'03""","1,3","204,8","92,9",,,,2,,,189,60,Med Slow,50,Blue,Neutral,20,Field,,
"555,2",Darmanitan (Galarian),8,Galarian Form,,,,,,,,,,,,,,,,,,,,,,,,368,,104,,,,,105,140,55,30,55,95,480,Ice,,Gorilla Tactics,,Zen Mode,"5'07""","1,7","264,6",120,,2,,,,,168,60,Med Slow,50,White,Neutral,20,Field,,
"555,3","Darmanitan (Galarian, Zen Mode)",8,Galarian Form,,,,,,,,,,,,,,,,,,,,,,,,368,,104,,,,,105,160,55,30,55,135,540,Ice,Fire,Gorilla Tactics,,Zen Mode,"5'07""","1,7","264,6",120,,2,,,,,189,60,Med Slow,50,White,Neutral,20,Field,,
556,Maractus,5,,,,,,,,,,62,119,,,,,,,,,,,,,,296,,,,,,,75,86,67,106,67,60,461,Grass,,Water Absorb,Chlorophyll,Storm Drain,"3'03""",1,"61,7",28,,,,2,,,161,255,Med Fast,50,Green,Neutral,20,Grass,,
557,Dwebble,5,,,,,,,,,,63,115,,23,,,,,,,,,,,,86,122,,,,,,50,65,85,35,35,55,325,Bug,Rock,Sturdy,Shell Armor,Weak Armor,"1'00""","0,3",32,"14,5",,,1,,,,65,190,Med Fast,50,Red,Neutral,20,Bug,Mineral,Lv. 34
558,Crustle,5,,,,,,,,,,64,116,,24,,,,,,,,,,,,87,123,,,,,,70,105,125,65,75,45,485,Bug,Rock,Sturdy,Shell Armor,Weak Armor,"4'07""","1,4","440,9",200,,,2,,,,170,75,Med Fast,50,Red,Neutral,20,Bug,Mineral,
559,Scraggy,5,,,,,,,,,,65,117,100,,,,,,,,335,,,156,,224,161,,,,,121,50,75,70,35,70,48,348,Dark,Fighting,Shed Skin,Moxie,Intimidate,"2'00""","0,6",26,"11,8",,1,,,,,70,180,Med Fast,35,Yellow,Neutral,15,Field,Dragon,Lv. 39
560,Scrafty,5,,,,,,,,,,66,118,101,,,,,,,,336,,,157,,225,162,,,,,122,65,90,115,45,115,58,488,Dark,Fighting,Shed Skin,Moxie,Intimidate,"3'07""","1,1","66,1",30,,,1,,1,,171,90,Med Fast,50,Red,Neutral,15,Field,Dragon,
561,Sigilyph,5,,,,,,,,,,67,120,,90,,,,,,,,,,,,297,,,,,,,72,58,80,103,80,97,490,Psychic,Flying,Wonder Skin,Magic Guard,Tinted Lens,"4'07""","1,4","30,9",14,,,,2,,,172,45,Med Fast,50,Black,Neutral,20,Flying,,
562,Yamask,5,,,,,,,,,,68,124,,,,,,,,,,,,,,327,,,,,,,38,30,85,55,65,30,303,Ghost,,Mummy,,,"1'08""","0,5","3,3","1,5",,,1,,,,61,190,Med Fast,50,Black,Neutral,25,Mineral,Amorphous,Lv. 34
"562,1",Yamask (Galarian),8,Galarian Form,,,,,,,,,,,,,,,,,,,,,,,,327,,,,,,,38,55,85,30,65,30,303,Ground,Ghost,Wandering Spirit,,,"1'08""","0,5","3,3","1,5",,,1,,,,61,190,Med Fast,50,Black,Neutral,25,Mineral,Amorphous,"Take 49 HP Damage in Battle, Walk under Stone in Dusty Bowl"
563,Cofagrigus,5,,,,,,,,,,69,125,,,,,,,,,,,,,,329,,,,,,,58,50,145,95,105,30,483,Ghost,,Mummy,,,"5'07""","1,7","168,7","76,5",,,2,,,,169,90,Med Fast,50,Yellow,Neutral,25,Mineral,Amorphous,
564,Tirtouga,5,Fossil,,,,,,,,,70,126,,,,194,,121,,,241,,142,,,,,147,,,,,54,78,103,53,45,22,355,Water,Rock,Solid Rock,Sturdy,Swift Swim,"2'04""","0,7","36,4","16,5",,,1,,,,71,45,Med Fast,50,Blue,M (87.5%),30,Water 1,Water 3,Lv. 37
565,Carracosta,5,Fossil,,,,,,,,,71,127,,,,195,,122,,,242,,143,,,,,148,,,,,74,108,133,83,65,32,495,Water,Rock,Solid Rock,Sturdy,Swift Swim,"3'11""","1,2","178,6",81,,,2,,,,173,45,Med Fast,50,Blue,M (87.5%),30,Water 1,Water 3,
566,Archen,5,Fossil,,,,,,,,,72,128,,,,192,,119,,,239,,140,,,,,149,,,,,55,112,45,74,45,70,401,Rock,Flying,Defeatist,,,"1'08""","0,5","20,9","9,5",,1,,,,,71,45,Med Fast,50,Yellow,M (87.5%),30,Flying,Water 3,Lv. 37
567,Archeops,5,Fossil,,,,,,,,,73,129,,,,193,,120,,,240,,141,,,,,150,,,,,75,140,65,112,65,110,567,Rock,Flying,Defeatist,,,"4'07""","1,4","70,5",32,,2,,,,,177,45,Med Fast,50,Yellow,M (87.5%),30,Flying,Water 3,
568,Trubbish,5,,,,,,,,,,74,105,,,74,206,,,78,,264,,,85,,157,,,,,,,50,50,62,40,62,65,329,Poison,,Stench,Sticky Hold,Aftermath,"2'00""","0,6","68,3",31,,,,,,1,66,190,Med Fast,50,Green,Neutral,20,Mineral,,Lv. 36
569,Garbodor,5,,,,,,,,,,75,106,,,75,207,,,79,,265,,,86,,158,,,,,,,80,95,92,60,82,75,484,Poison,,Stench,Weak Armor,Aftermath,"6'03""","1,9","236,6","107,3",,2,,,,,166,60,Med Fast,50,Green,Neutral,20,Mineral,,
570,Zorua,5,,,,,,,,,,76,151,,,124,,,,,,28,28,,,12,,87,,,228,,,40,65,40,80,40,65,330,Dark,,Illusion,,,"2'04""","0,7","27,6","12,5",,,,1,,,66,75,Med Slow,50,Gray,M (87.5%),25,Field,,Lv. 30
"570,1",Zorua (Hisuian),8,Hisuian Form,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,,35,60,40,85,40,70,330,Normal,Ghost,Illusion,,,"2'04""","0,7","27,6","12,5",,,,1,,,66,75,Med Slow,50,Gray,M (87.5%),25,Field,,Lv. 30
571,Zoroark,5,,,,,,,,,,77,152,,,125,,,,,,29,29,,,13,,88,,,229,,,60,105,60,120,60,105,510,Dark,,Illusion,,,"5'03""","1,6","178,8","81,1",,,,2,,,179,45,Med Slow,50,Gray,M (87.5%),25,Field,,
"571,1",Zoroark (Hisuian),8,Hisuian Form,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,,,55,100,60,125,60,110,510,Normal,Ghost,Illusion,,,"5'03""","1,6","160,9",73,,,,2,,,179,45,Med Slow,50,Gray,M (87.5%),25,Field,,
572,Minccino,5,,,,,,,,,,78,107,,,,,,,,,266,,,87,,50,,,,,,111,55,50,40,40,40,75,300,Normal,,Cute Charm,Technician,Skill Link,"1'04""","0,4","12,8","5,8",,,,,,1,60,255,Fast,50,Gray,F (75%),15,Field,,Shiny Stone
573,Cinccino,5,,,,,,,,,,79,108,,,,,,,,,267,,,88,,51,,,,,,112,75,95,60,65,60,115,470,Normal,,Cute Charm,Technician,Skill Link,"1'08""","0,5","16,5","7,5",,,,,,2,165,60,Fast,50,Gray,F (75%),15,Field,,
574,Gothita,5,,,,,,,,,,80,136,,,126,,,,,,,,,,,267,,51,,234,,101,45,30,50,55,65,45,290,Psychic,,Frisk,Competitive,Shadow Tag,"1'04""","0,4","12,8","5,8",,,,,1,,58,200,Med Slow,50,Purple,F (75%),20,Human-Like,,Lv. 32
575,Gothorita,5,,,,,,,,,,81,137,,,127,,,,,,,,,,,268,,52,,235,,102,60,45,70,75,85,55,390,Psychic,,Frisk,Competitive,Shadow Tag,"2'04""","0,7","39,7",18,,,,,2,,137,100,Med Slow,50,Purple,F (75%),20,Human-Like,,Lv. 41
576,Gothitelle,5,,,,,,,,,,82,138,,,128,,,,,,,,,,,269,,53,,236,,103,70,55,95,95,110,65,490,Psychic,,Frisk,Competitive,Shadow Tag,"4'11""","1,5",97,44,,,,,3,,245,50,Med Slow,50,Purple,F (75%),20,Human-Like,,
577,Solosis,5,,,,,,,,,,83,139,,115,,,,,,,,,,,,270,,54,,,,148,45,30,40,105,50,20,290,Psychic,,Overcoat,Magic Guard,Regenerator,"1'00""","0,3","2,2",1,,,,1,,,58,200,Med Slow,50,Green,Neutral,20,Amorphous,,Lv. 32
578,Duosion,5,,,,,,,,,,84,140,,116,,,,,,,,,,,,271,,55,,,,149,65,40,50,125,60,30,370,Psychic,,Overcoat,Magic Guard,Regenerator,"2'00""","0,6","17,6",8,,,,2,,,130,100,Med Slow,50,Green,Neutral,20,Amorphous,,Lv. 41
579,Reuniclus,5,,,,,,,,,,85,141,,117,,,,,,,,,,,,272,,56,,,,150,110,65,75,125,85,30,490,Psychic,,Overcoat,Magic Guard,Regenerator,"3'03""",1,"44,3","20,1",,,,3,,,245,50,Med Slow,50,Green,Neutral,20,Amorphous,,
580,Ducklett,5,,,,,,,,,,86,153,127,,,,,,,,,,,,,,,,,,181,,62,44,50,44,50,55,305,Water,Flying,Keen Eye,Big Pecks,Hydration,"1'08""","0,5","12,1","5,5",1,,,,,,61,190,Med Fast,50,Blue,Neutral,20,Water 1,Flying,Lv. 35
581,Swanna,5,,,,,,,,,,87,154,128,,,,,,,,,,,,,,,,,,182,,75,87,63,87,63,98,473,Water,Flying,Keen Eye,Big Pecks,Hydration,"4'03""","1,3","53,4","24,2",,,,,,2,166,45,Med Fast,50,White,Neutral,20,Water 1,Flying,
582,Vanillite,5,,,,,,,,,,88,255,,,85,255,,,127,,332,,,153,,72,,22,,,,,36,50,50,65,60,44,305,Ice,,Ice Body,Snow Cloak,Weak Armor,"1'04""","0,4","12,6","5,7",,,,1,,,61,255,Med Fast,50,White,Neutral,20,Mineral,,Lv. 35
583,Vanillish,5,,,,,,,,,,89,256,,,86,256,,,128,,333,,,154,,73,,23,,,,,51,65,65,80,75,59,395,Ice,,Ice Body,Snow Cloak,Weak Armor,"3'07""","1,1","90,4",41,,,,2,,,138,120,Med Fast,50,White,Neutral,20,Mineral,,Lv. 47
584,Vanilluxe,5,,,,,,,,,,90,257,,,87,257,,,129,,334,,,155,,74,,24,,,,,71,95,85,110,95,79,535,Ice,,Ice Body,Snow Warning,Weak Armor,"4'03""","1,3","126,8","57,5",,,,3,,,268,45,Med Fast,50,White,Neutral,20,Mineral,,
585,Deerling (Spring),5,,,,,,,,,,91,159,,,,,,,,,,,,,,,,,,190,,38,60,60,50,40,50,75,335,Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,"2'00""","0,6",43,"19,5",,,,,,1,67,190,Med Fast,50,Pink,Neutral,20,Field,,Lv. 34
"585,1",Deerling (Summer),5,,,,,,,,,,91,159,,,,,,,,,,,,,,,,,,190,,38,60,60,50,40,50,75,335,Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,"2'00""","0,6",43,"19,5",,,,,,1,67,190,Med Fast,50,Green,Neutral,20,Field,,Lv. 34
"585,2",Deerling (Autumn),5,,,,,,,,,,91,159,,,,,,,,,,,,,,,,,,190,,38,60,60,50,40,50,75,335,Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,"2'00""","0,6",43,"19,5",,,,,,1,67,190,Med Fast,50,Red,Neutral,20,Field,,Lv. 34
"585,3",Deerling (Winter),5,,,,,,,,,,91,159,,,,,,,,,,,,,,,,,,190,,38,60,60,50,40,50,75,335,Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,"2'00""","0,6",43,"19,5",,,,,,1,67,190,Med Fast,50,Brown,Neutral,20,Field,,Lv. 34
